Column1,time,Room,Day,Class,Enrollment,Instructor,Str_Start,Str_End
213,16:30,2320,Thursday,N/A,0,N/A,N/A,N/A
214,17:00,2320,Thursday,N/A,0,N/A,N/A,N/A
215,17:30,2320,Thursday,N/A,0,N/A,N/A,N/A
216,18:00,2320,Thursday,N/A,0,N/A,N/A,N/A
217,18:30,2320,Thursday,N/A,0,N/A,N/A,N/A
218,19:00,2320,Thursday,N/A,0,N/A,N/A,N/A
219,19:30,2320,Thursday,N/A,0,N/A,N/A,N/A
220,20:00,2320,Thursday,N/A,0,N/A,N/A,N/A
221,20:30,2320,Thursday,N/A,0,N/A,N/A,N/A
222,21:00,2320,Thursday,N/A,0,N/A,N/A,N/A
223,21:30,2320,Thursday,,0,,N/A,N/A
140,8:00,2320,Friday,,0,,N/A,N/A
141,8:30,2320,Friday,N/A,0,N/A,N/A,N/A
142,9:00,2320,Friday,N/A,0,N/A,N/A,N/A
143,9:30,2320,Friday,N/A,0,N/A,N/A,N/A
144,10:00,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
145,10:30,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
146,11:00,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
147,11:30,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
148,12:00,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
149,12:30,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
150,13:00,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
151,13:30,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
152,14:00,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
153,14:30,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
154,15:00,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
155,15:30,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
156,16:00,2320,Friday,N/A,0,N/A,N/A,N/A
157,16:30,2320,Friday,N/A,0,N/A,N/A,N/A
158,17:00,2320,Friday,N/A,0,N/A,N/A,N/A
159,17:30,2320,Friday,N/A,0,N/A,N/A,N/A
160,18:00,2320,Friday,N/A,0,N/A,N/A,N/A
161,18:30,2320,Friday,N/A,0,N/A,N/A,N/A
162,19:00,2320,Friday,N/A,0,N/A,N/A,N/A
163,19:30,2320,Friday,N/A,0,N/A,N/A,N/A
164,20:00,2320,Friday,N/A,0,N/A,N/A,N/A
165,20:30,2320,Friday,N/A,0,N/A,N/A,N/A
166,21:00,2320,Friday,N/A,0,N/A,N/A,N/A
167,21:30,2320,Friday,,0,,N/A,N/A
308,8:00,2520,Monday,,0,,N/A,N/A
309,8:30,2520,Monday,N/A,0,N/A,N/A,N/A
310,9:00,2520,Monday,N/A,0,N/A,N/A,N/A
311,9:30,2520,Monday,N/A,0,N/A,N/A,N/A
312,10:00,2520,Monday,ISTE( 464)-AccessibilityThroughTheLifespa,8,Elissa Weeden,10:00,10:50
313,10:30,2520,Monday,ISTE( 464)-AccessibilityThroughTheLifespa,8,Elissa Weeden,10:00,10:50
314,11:00,2520,Monday,ISTE( 438)-ContemporaryDatabases,27,Edward Holden,11:00,11:50
315,11:30,2520,Monday,ISTE( 438)-ContemporaryDatabases,27,Edward Holden,11:00,11:50
316,12:00,2520,Monday,N/A,0,N/A,N/A,N/A
317,12:30,2520,Monday,N/A,0,N/A,N/A,N/A
318,13:00,2520,Monday,N/A,0,N/A,N/A,N/A
319,13:30,2520,Monday,N/A,0,N/A,N/A,N/A
320,14:00,2520,Monday,N/A,0,N/A,N/A,N/A
321,14:30,2520,Monday,N/A,0,N/A,N/A,N/A
322,15:00,2520,Monday,N/A,0,N/A,N/A,N/A
323,15:30,2520,Monday,N/A,0,N/A,N/A,N/A
324,16:00,2520,Monday,N/A,0,N/A,N/A,N/A
325,16:30,2520,Monday,N/A,0,N/A,N/A,N/A
326,17:00,2520,Monday,N/A,0,N/A,N/A,N/A
327,17:30,2520,Monday,N/A,0,N/A,N/A,N/A
328,18:00,2520,Monday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
329,18:30,2520,Monday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
330,19:00,2520,Monday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
331,19:30,2520,Monday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
332,20:00,2520,Monday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
333,20:30,2520,Monday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
334,21:00,2520,Monday,N/A,0,N/A,N/A,N/A
335,21:30,2520,Monday,,0,,N/A,N/A
364,8:00,2520,Tuesday,,0,,N/A,N/A
365,8:30,2520,Tuesday,N/A,0,N/A,N/A,N/A
366,9:00,2520,Tuesday,N/A,0,N/A,N/A,N/A
367,9:30,2520,Tuesday,ISTE( 730)-Foundations of IoT,11,Tae Oh,9:30,10:45
368,10:00,2520,Tuesday,ISTE( 730)-Foundations of IoT,11,Tae Oh,9:30,10:45
369,10:30,2520,Tuesday,ISTE( 730)-Foundations of IoT,11,Tae Oh,9:30,10:45
370,11:00,2520,Tuesday,ISTE( 222)-CompProbSolvingInfoDomainIII,22,Erik Golen,11:00,12:15
371,11:30,2520,Tuesday,ISTE( 222)-CompProbSolvingInfoDomainIII,22,Erik Golen,11:00,12:15
372,12:00,2520,Tuesday,ISTE( 222)-CompProbSolvingInfoDomainIII,22,Erik Golen,11:00,12:15
373,12:30,2520,Tuesday,N/A,0,N/A,N/A,N/A
374,13:00,2520,Tuesday,N/A,0,N/A,N/A,N/A
375,13:30,2520,Tuesday,N/A,0,N/A,N/A,N/A
376,14:00,2520,Tuesday,ISTE( 610)-KnowledgeRepresentationTech,23,Edward Holden,14:00,15:15
377,14:30,2520,Tuesday,ISTE( 610)-KnowledgeRepresentationTech,23,Edward Holden,14:00,15:15
378,15:00,2520,Tuesday,ISTE( 610)-KnowledgeRepresentationTech,23,Edward Holden,14:00,15:15
379,15:30,2520,Tuesday,N/A,0,N/A,N/A,N/A
380,16:00,2520,Tuesday,N/A,0,N/A,N/A,N/A
381,16:30,2520,Tuesday,N/A,0,N/A,N/A,N/A
382,17:00,2520,Tuesday,ISTE( 782)-VisualAnalytics,25,Erik Golen,17:00,19:50
383,17:30,2520,Tuesday,ISTE( 782)-VisualAnalytics,25,Erik Golen,17:00,19:50
384,18:00,2520,Tuesday,ISTE( 782)-VisualAnalytics,25,Erik Golen,17:00,19:50
385,18:30,2520,Tuesday,ISTE( 782)-VisualAnalytics,25,Erik Golen,17:00,19:50
386,19:00,2520,Tuesday,ISTE( 782)-VisualAnalytics,25,Erik Golen,17:00,19:50
387,19:30,2520,Tuesday,ISTE( 782)-VisualAnalytics,25,Erik Golen,17:00,19:50
388,20:00,2520,Tuesday,N/A,0,N/A,N/A,N/A
389,20:30,2520,Tuesday,N/A,0,N/A,N/A,N/A
390,21:00,2520,Tuesday,N/A,0,N/A,N/A,N/A
391,21:30,2520,Tuesday,,0,,N/A,N/A
392,8:00,2520,Wednesday,,0,,N/A,N/A
393,8:30,2520,Wednesday,N/A,0,N/A,N/A,N/A
394,9:00,2520,Wednesday,N/A,0,N/A,N/A,N/A
395,9:30,2520,Wednesday,N/A,0,N/A,N/A,N/A
396,10:00,2520,Wednesday,ISTE( 464)-AccessibilityThroughTheLifespa,8,Elissa Weeden,10:00,10:50
397,10:30,2520,Wednesday,ISTE( 464)-AccessibilityThroughTheLifespa,8,Elissa Weeden,10:00,10:50
398,11:00,2520,Wednesday,ISTE( 438)-ContemporaryDatabases,27,Edward Holden,11:00,11:50
399,11:30,2520,Wednesday,ISTE( 438)-ContemporaryDatabases,27,Edward Holden,11:00,11:50
400,12:00,2520,Wednesday,N/A,0,N/A,N/A,N/A
401,12:30,2520,Wednesday,N/A,0,N/A,N/A,N/A
402,13:00,2520,Wednesday,N/A,0,N/A,N/A,N/A
403,13:30,2520,Wednesday,N/A,0,N/A,N/A,N/A
404,14:00,2520,Wednesday,N/A,0,N/A,N/A,N/A
405,14:30,2520,Wednesday,N/A,0,N/A,N/A,N/A
406,15:00,2520,Wednesday,N/A,0,N/A,N/A,N/A
407,15:30,2520,Wednesday,N/A,0,N/A,N/A,N/A
408,16:00,2520,Wednesday,N/A,0,N/A,N/A,N/A
409,16:30,2520,Wednesday,N/A,0,N/A,N/A,N/A
410,17:00,2520,Wednesday,N/A,0,N/A,N/A,N/A
411,17:30,2520,Wednesday,N/A,0,N/A,N/A,N/A
412,18:00,2520,Wednesday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
413,18:30,2520,Wednesday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
414,19:00,2520,Wednesday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
415,19:30,2520,Wednesday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
416,20:00,2520,Wednesday,ISTE( 120)-CompProblemSolvingInfoDomainI,27,Tanweer Alam,18:00,20:50
